uid,generation,generation_time
035_32172,"### Instruction1:
Tap ""Install"" and then ""Open"" when the installation is complete. Tap ""Sign In"" to enter your email address and password, then tap ""Sign In"" again. This will take you to a page with your account's payment details. The card details will be displayed. You can make changes to the card's expiration date, CVV, country, and billing zip code. Additionally, you can declare the card as a personal or business card. If you have a business profile, indicate the card's status as ""Business."" Credit card numbers cannot be changed here; you need to delete the card and add it again. You can delete a card by tapping ""Delete"" at the bottom, but this is only possible as long as it is not the only valid payment method for the account. Your card details will be updated.

### Instruction2:
Install and open the app, sign in with your email and password, and manage your payment details, including updating card information and designating it as personal or business. Deleting a card requires it not to be the only payment method.",1.986043930053711
035_43196,"### Instruction1:
The lightning ability illuminates the screen, allowing you to see a bit as you make your way through the tunnel. You need to go down a little to avoid the dead end, and then back up to look for the ladder. This takes you to B1F. That leads you to another ladder that brings you back to 1F. This takes you from 1F to B1F. This brings you to the last ladder. This lets you jump back to the south side of Route 10.

### Instruction2:
Use the lightning ability to navigate the tunnel, avoiding dead ends and finding ladders to move between levels until you reach the south side of Route 10.",1.3327813148498535
035_2873,"### Instruction1:
Only when the water level drops do you often realize that your aquarium has a leak. While water always evaporates, if the water level is obviously decreasing, a leak could be a good reason for it. If you have a significant leak, the spot will be very obvious, so a quick inspection of the aquarium should help locate the leak. If the leak is not obvious, you might only notice it when you find a wet spot near your aquarium. Even a small damp area could indicate that there is a problem. If you have changed the filter, added new items to your aquarium, or made other changes, these could have caused the water to leak. Try to dry the area and observe if more water is leaking. If you see water outside the aquarium again, it is likely a leak. If you suspect a leak but do not find the spot immediately, you will need to search a bit. Look for metal corners that may have come loose from the glass. Another clue might be sealant that is obviously oozing out at the corners. These are telltale signs that there is a problem with your aquarium. Feel around the edges of the aquarium. If you feel wet glass, move your hand from that spot upwards until you feel the glass is dry. The wet spot closest to the top of the aquarium is likely the leak you are looking for. Once you find the leak or suspect a location, you should mark the area with a felt-tip pen. This way, you will know exactly where to begin your repairs once you have drained the water from your aquarium. After completing your repairs, the felt-tip markings can easily be removed with glass cleaner. Leaks along the seams can be relatively easy to fix, as they are usually due to sealing errors and seams can simply be resealed with silicone. However, if the leak is due to cracked glass, it is not so easily repaired. Replacing an entire pane of glass takes much more time and skill. In fact, it is very likely that such a repair can only be done by someone with the appropriate experience. If a side or the bottom of your aquarium is cracked, it is very likely that the entire aquarium will break. Due to the water pressure, the crack will enlarge, and once the crack is large enough, the glass sides of the tank will shatter.

### Instruction2:
Check for leaks when the water level decreases. Look for wet spots and inspect the aquarium. Mark any suspected leaks for repair. Seams are easier to fix than cracked glass, which requires skill and experience to replace.",4.188421249389648
035_51526,"### Instruction1:
Navigate to https://www.facebook.com in your browser. This will automatically load your news feed if you are already logged into Facebook. If you are not logged in yet, enter your email address or phone number and your password. Type the name of the person or page into the search bar at the top of the page and click on the correct profile to access that page. You will find the button in the lower left corner of the cover photo. You are now following the person or page. A dropdown menu will open with the following options:  
- Unfollow this page – No longer follow the person or page  
- See First – You will always see updates from this person or page at the top of your news feed whenever there are any.  
- Default settings – You will see updates from this person or page normally in your news feed.  
- Unsubscribe – No longer follow the person or page.

### Instruction2:
To follow someone on Facebook, go to their profile and click the follow button. You can choose options to see their updates first, see them normally, or unsubscribe.",2.467830181121826
035_28984,"### Instruction 1:
Like other parts of a horse's body, a horse moves its head in different ways depending on how it feels. The position of its head signals a variety of moods. When your horse holds its head high, it shows that it is alert and curious. A lowered head could mean several things: it may indicate that your horse has accepted a certain situation or command, or it might mean that your horse is feeling down, which would require further evaluation by your veterinarian. If your horse is bobbing its head (slightly lowering its head and moving its neck side to side), it is showing signs of aggression. If possible, remove your horse from what is exciting it; if you cannot do this safely, back away as far as possible until your horse calms down. Your horse may turn its head to look back at its flank, which could indicate discomfort in the belly area. Your horse flicks its tail to chase away flies or insects. While the natural tail position can vary by breed, there are certain positions that are common across breeds. Besides chasing away annoying pests, tail flicking can also indicate excitement and serve as a warning sign for other horses to keep their distance. When excited, your horse flicks its tail faster and more aggressively than when simply warding off pests. Your horse often raises its tail when it is happy and alert. For foals, a tail held high over the back signifies either playfulness or alarm. If your horse's tail is tucked down, it may be feeling discomfort, such as from a fly on its underside. Your horse holds its neck in different ways to convey whether it is tense, relaxed, etc. Knowing these various neck positions will help you better understand your horse's body language. If your horse's neck is stretched out and the muscles underneath feel relaxed, this may indicate that it is calm and happy. If the muscles under the neck feel tense, your horse is likely feeling stressed and unhappy.

### Instruction 2:
A horse's head and neck positions indicate its mood. A high head shows alertness, while a low head can indicate acceptance or sadness. Aggression is shown by head bobbing. Tail movements signal discomfort, excitement, or happiness. Understanding these signals helps in interpreting a horse's emotions and wellbeing.",2.880009412765503
035_14779,"### Instruction1:
For this recipe, you will need 2/3 cup of baking soda, one teaspoon of fine sea salt, one to two teaspoons of peppermint extract or other essential oils, and filtered water. Sodium bicarbonate (commonly known as baking soda) polishes teeth and eliminates bad breath. It is relatively inexpensive, which is another great advantage. Salt acts as an abrasive and helps remove plaque. It also stimulates saliva production, which is the natural method for protecting teeth. The essential oil is for aroma, and the water is for consistency. Make sure that the sea salt is thoroughly mixed with the baking soda. When looking closely at the mixture, you should not see clumps of sea salt among the baking soda; rather, the sea salt should be distributed in such a way that it is difficult to distinguish from the baking soda. This can be accomplished with a fork or a whisk, which will help dissolve any clumps in the salt. Many people choose peppermint or spearmint because they are accustomed to them. However, you can also try other “flavors.” Other commonly used essential oils include lavender, which has a calming effect when used orally; orange, which has also proven effective in reducing anxiety; and eucalyptus, which has antiseptic and antibacterial properties. Always add only a few drops at a time and stir well after each addition. You can make the paste as thick or thin as you like, but you should know that it will be difficult to keep it on the toothbrush if it is too thin. Essential oils should be stored in a glass container, and this is particularly important if you have decided to add oils. Store the paste near your toothbrush, protected from direct sunlight in a cool, dry place. You can dip your toothbrush directly into the paste or use a small spoon to apply the paste to your brush. Experiment with using different amounts. Start with a pea-sized amount and add more if you feel that it is not enough.

### Instruction2:
To make a tooth-cleaning paste, combine baking soda, sea salt, essential oils, and water. Mix thoroughly without clumps, store in a glass container, and use as needed while experimenting with different amounts.",2.873889923095703
035_23299,"### Instruction1:
Your tomato plants need four to six hours of direct sunlight each day to grow and bear fruit. Position the pots on rolling trays as needed and move them to a sunny spot. You can also place your pots indoors under a grow light, which should be at least 15 cm away from the pots to avoid burning the plants. If you have planted seeds, keep them warm at night by tightly wrapping each pot in plastic wrap. Remove the wrap every morning. Place it so that the entire trellis, including the top, is covered. Then lay the mesh over the top part of the trellis and secure it with clothespins or sturdy clips. The mesh protects the plant from insects such as tomato leafminers and stink bugs, and it filters sunlight to prevent leaf burn. If you see insects, use a mild insecticide; there are natural and chemical options depending on the pest. Wash tomatoes treated with insecticide thoroughly before eating. Water the plants if the soil is dry or if the plants look wilted in the evening, as they need it. Water until it drains out of the drainage holes, ensuring the soil is saturated from top to bottom. Water according to the season and temperature; on hot days, water daily, and in mild weather, once a week is sufficient. After watering, empty any excess water from the saucer, as standing water can cause root rot. Water your tomatoes during the day; watering in the evening or at night encourages mold. Tomatoes should be almost completely red with only small green patches when ripe and can be easily picked by pulling on the stem. Alternatively, you can cut them with garden shears. Some tomatoes (check your variety) naturally have stripes, are green, or look different from a standard red tomato when ripe.

### Instruction2:
Tomato plants require four to six hours of sunlight daily. Use rolling trays for easy positioning and consider grow lights if indoors. Wrap seed pots in plastic at night for warmth. Use protective mesh against pests and monitor for insects. Water according to soil moisture and temperature, ensuring proper drainage. Harvest ripe tomatoes when they are mostly red.",2.983350992202759
035_14994,"### Instruction1:
To lose weight quickly, you should increase your activity to 1 hour, 5 days a week. This is the best exercise to lose fat on your thighs, as it burns a lot of fat. During your aerobic training, incorporate 1 to 2-minute sprints every 5 minutes.

### Instruction2:
Increase your exercise to 1 hour, 5 days a week. Focus on aerobic training with short sprints to effectively burn thigh fat.",1.098156452178955
035_27071,"### Instruction 1:
There are GABA supplements on the market that are supposed to increase GABA levels in your brain. Some medical professionals believe this is not possible because GABA cannot cross the blood-brain barrier in your body. This means that taking a GABA supplement may not affect your GABA levels. However, if you wish to try GABA supplements, you can do so without worry. If you feel more relaxed and calm after taking a GABA supplement, it may indeed be effective. When purchasing GABA supplements, always check if the manufacturer is reputable and if the product has been tested by a third party. Look for manufacturer reviews online to determine their credibility. 

Taurine is an amino acid that is present in high concentrations in your brain. Taurine behaves similarly to a neurotransmitter and can activate GABA receptors in your brain. Taking taurine supplements may lead to the release and production of GABA in your brain. You can find taurine supplements online or at health food stores. Make sure the manufacturer of the taurine supplement is trustworthy and reputable before taking it. 

Magnesium supplements can boost magnesium levels in your brain, which may lead to the release of GABA. Magnesium supplements can help alleviate insomnia, stress, and low energy levels. You can find magnesium supplements online or at health food stores.

### Instruction 2:
There are debates about the effectiveness of GABA supplements due to their inability to cross the blood-brain barrier. However, they can be tried safely. Taurine and magnesium supplements may help increase GABA levels in the brain and improve relaxation and energy. Always choose reputable manufacturers when purchasing these supplements.",2.720785617828369
035_47618,"### Instruction1:
Some CD players have a forced eject function specifically designed to get CDs out when other methods have failed. Since you do not have to handle your CD player in any way with this method, it is wise to start with it—you have nothing to lose if it doesn't work. First, turn off your car if it is not already off. Press the power and eject buttons on your CD player simultaneously and hold them for about ten seconds. If your radio has a forced eject function, it should spit out the CD. Some CD players may not work when the car is off, so for these players, try pressing the power and eject buttons while the car is running. The combination of the power and eject button is a common combination for the forced eject function, but many CD players require different buttons to eject a jammed CD. If you still have it, check your CD player manual for information on this and other functions that may help you retrieve your CD.

### Instruction2:
Use the forced eject function to retrieve jammed CDs. Start with the car off, then press the power and eject buttons together. If that doesn’t work, try with the car running. Check the manual for specific instructions for your CD player.",1.8658239841461182
